TrackName: Percussion
A NoteOff, Abs: 9808 (D 16)
A NoteOn, Abs: 9864 (D 56)
A NoteOff, Abs: 9880 (D 16)
A NoteOn, Abs: 9888 (D 8)
A NoteOff, Abs: 9920 (D 32)
A NoteOn, Abs: 9936 (D 16)
A NoteOff, Abs: 9952 (D 16)
A NoteOn, Abs: 9984 (D 32)
A NoteOff, Abs: 10000 (D 16)
A NoteOn, Abs: 10056 (D 56)
A NoteOff, Abs: 10072 (D 16)
A NoteOn, Abs: 10080 (D 8)
A NoteOff, Abs: 10112 (D 32)
A NoteOn, Abs: 10128 (D 16)
A NoteOff, Abs: 10144 (D 16)
A NoteOn, Abs: 10176 (D 32)
A NoteOff, Abs: 10192 (D 16)
A NoteOn, Abs: 10248 (D 56)
A NoteOff, Abs: 10264 (D 16)
A NoteOn, Abs: 10272 (D 8)
A NoteOff, Abs: 10304 (D 32)
A NoteOn, Abs: 10320 (D 16)
A NoteOff, Abs: 10336 (D 16)
A NoteOn, Abs: 10368 (D 32)
A NoteOff, Abs: 10384 (D 16)
A NoteOn, Abs: 10440 (D 56)
A NoteOff, Abs: 10456 (D 16)
A NoteOn, Abs: 10464 (D 8)
A NoteOff, Abs: 10496 (D 32)
A NoteOn, Abs: 10512 (D 16)
A NoteOff, Abs: 10528 (D 16)
A NoteOn, Abs: 10560 (D 32)
A NoteOff, Abs: 10576 (D 16)
A NoteOn, Abs: 10632 (D 56)
A NoteOff, Abs: 10648 (D 16)
A NoteOn, Abs: 10656 (D 8)
A NoteOff, Abs: 10688 (D 32)
A NoteOn, Abs: 10704 (D 16)
A NoteOff, Abs: 10720 (D 16)
A NoteOn, Abs: 10752 (D 32)
A NoteOff, Abs: 10768 (D 16)
A NoteOn, Abs: 10824 (D 56)
A NoteOff, Abs: 10840 (D 16)
A NoteOn, Abs: 10848 (D 8)
A NoteOff, Abs: 10880 (D 32)
A NoteOn, Abs: 10896 (D 16)
A NoteOff, Abs: 10912 (D 16)
A NoteOn, Abs: 10944 (D 32)
A NoteOff, Abs: 10960 (D 16)
A NoteOn, Abs: 11016 (D 56)
A NoteOff, Abs: 11032 (D 16)
A NoteOn, Abs: 11040 (D 8)
A NoteOff, Abs: 11072 (D 32)
A NoteOn, Abs: 11088 (D 16)
A NoteOff, Abs: 11104 (D 16)
A NoteOn, Abs: 11136 (D 32)
A NoteOff, Abs: 11168 (D 32)
A NoteOn, Abs: 11184 (D 16)
A NoteOff, Abs: 11200 (D 16)
A NoteOn, Abs: 11208 (D 8)
A NoteOff, Abs: 11240 (D 32)
A NoteOn, Abs: 11256 (D 16)
A NoteOff, Abs: 11272 (D 16)
A NoteOn, Abs: 11280 (D 8)
A NoteOff, Abs: 11312 (D 32)
A NoteOn, Abs: 11328 (D 16)
A NoteOff, Abs: 11360 (D 32)
A NoteOn, Abs: 11400 (D 40)
A NoteOff, Abs: 11432 (D 32)
A NoteOn, Abs: 11448 (D 16)
A NoteOff, Abs: 11464 (D 16)
A NoteOn, Abs: 11472 (D 8)
A NoteOff, Abs: 11488 (D 16)
A NoteOn, Abs: 11496 (D 8)
A NoteOff, Abs: 11512 (D 16)
A NoteOn, Abs: 11520 (D 8)
A NoteOff, Abs: 11552 (D 32)
A NoteOn, Abs: 11568 (D 16)
A NoteOff, Abs: 11584 (D 16)
A NoteOn, Abs: 11592 (D 8)
A NoteOff, Abs: 11624 (D 32)
A NoteOn, Abs: 11640 (D 16)
A NoteOff, Abs: 11656 (D 16)
A NoteOn, Abs: 11664 (D 8)
A NoteOff, Abs: 11696 (D 32)
A NoteOn, Abs: 11712 (D 16)
A NoteOff, Abs: 11744 (D 32)
A NoteOn, Abs: 11784 (D 40)
A NoteOff, Abs: 11816 (D 32)
A NoteOn, Abs: 11832 (D 16)
A NoteOff, Abs: 11848 (D 16)
A NoteOn, Abs: 11856 (D 8)
A NoteOff, Abs: 11872 (D 16)
A NoteOn, Abs: 11880 (D 8)
A NoteOff, Abs: 11896 (D 16)
A NoteOn, Abs: 11904 (D 8)
A NoteOff, Abs: 11936 (D 32)
A NoteOn, Abs: 11952 (D 16)
A NoteOff, Abs: 11968 (D 16)
A NoteOn, Abs: 11976 (D 8)
A NoteOff, Abs: 12008 (D 32)
A NoteOn, Abs: 12024 (D 16)
A NoteOff, Abs: 12040 (D 16)
A NoteOn, Abs: 12048 (D 8)
A NoteOff, Abs: 12080 (D 32)
A NoteOn, Abs: 12096 (D 16)
A NoteOff, Abs: 12128 (D 32)
